11/07/2022 13:04:37 | INFO | [+] Инициализация браузера, это займет время...
11/07/2022 13:04:37 | INFO | 

11/07/2022 13:04:37 | INFO | ====== WebDriver manager ======
11/07/2022 13:04:40 | INFO | Current google-chrome version is 103.0.5060
11/07/2022 13:04:40 | INFO | Get LATEST chromedriver version for 103.0.5060 google-chrome
11/07/2022 13:04:40 | INFO | Trying to download new driver from https://chromedriver.storage.googleapis.com/103.0.5060.53/chromedriver_mac64.zip
11/07/2022 13:04:43 | INFO | Driver has been saved in cache [/Users/aleksandr/.wdm/drivers/chromedriver/mac64/103.0.5060.53]
11/07/2022 13:05:32 | INFO | [+] Инициализация браузера, это займет время...
11/07/2022 13:05:32 | INFO | 

11/07/2022 13:05:32 | INFO | ====== WebDriver manager ======
11/07/2022 13:05:32 | INFO | Current google-chrome version is 103.0.5060
11/07/2022 13:05:32 | INFO | Get LATEST chromedriver version for 103.0.5060 google-chrome
11/07/2022 13:05:32 | INFO | Driver [/Users/aleksandr/.wdm/drivers/chromedriver/mac64/103.0.5060.53/chromedriver] found in cache
11/07/2022 13:06:00 | INFO | Запуск обработки каждого поста...
11/07/2022 13:06:13 | INFO | Запуск скроллинга всех постов...
11/07/2022 13:07:59 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103cc6320>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/6c3b0ba9aed1bc6f202447004701f189
11/07/2022 13:07:59 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103cc62f0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/6c3b0ba9aed1bc6f202447004701f189
11/07/2022 13:07:59 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103cc6410>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/6c3b0ba9aed1bc6f202447004701f189
11/07/2022 13:07:59 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103c47ca0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0ddce7779d03022625a8c84618bea293
11/07/2022 13:07:59 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103cc6bc0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0ddce7779d03022625a8c84618bea293
11/07/2022 13:07:59 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103cc6e90>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0ddce7779d03022625a8c84618bea293
11/07/2022 13:07:59 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103cc6e30>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/6c3b0ba9aed1bc6f202447004701f189
11/07/2022 13:07:59 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103cc72b0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/6c3b0ba9aed1bc6f202447004701f189
11/07/2022 13:07:59 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103cc7340>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/6c3b0ba9aed1bc6f202447004701f189
11/07/2022 13:07:59 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103cc6bf0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0ddce7779d03022625a8c84618bea293
11/07/2022 13:07:59 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103cc6ec0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0ddce7779d03022625a8c84618bea293
11/07/2022 13:07:59 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103cc6e90>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0ddce7779d03022625a8c84618bea293
